Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Bummer","ATL",0,0,0,4,0,2.1,3.857145156180526,11.571435468541578,0,0,1,0.666666666,0,90.37394714355469,0,6.005388623325529,7.474770566396874,8.635685845479355,-0.11027053902788983,"Aaron Bummer",16258,607481
"Steven Okert","HOU",0,0,0,4,0,3.2,4.909093156827427,4.909093156827427,2.4545465784137135,0.2,0.27777778,0.363636363,0.142857142,90.3311784532335,9.818186313654854,8.599895273038717,7.279964690219145,6.320183103899698,-0.11253248005946752,"Steven Okert",13580,595345
"Cole Wilcox","SEA",0,0,0,2,0,1.2,10.800004312993819,5.400002156496909,5.400002156496909,0.4,0.55555556,0.5,1,97.29260660807292,16.200006469490727,14.061724623185293,12.189057320357804,5.20169474093287,-0.11290495365345815,"Cole Wilcox",27481,677961
"Justin Sterner","ATH",0,0,0,4,0,5.1,6.750000402331376,5.062500301748532,1.687500100582844,0.3333333333333333,1,0.5625,0.25,93.31848474451013,1.687500100582844,4.67343013391215,5.8140538826584915,4.39235406165125,-0.11490584771735013,"Justin Sterner",27694,686993
"Yoendrys Gómez","TBR",0,0,0,1,0,3,3,3,6,0.3333333333333333,0.71428571,0.076923076,0.2,94.927001953125,12,25.622707567529535,12.18905372619629,8.037054898341497,-0.1157575254049625,"Yoendrys Gomez",22872,672782
"Kumar Rocker","TEX",0,0,0,1,1,5,9,3.6,3.6,0.25,0.95238095,0.5,0.285714285,95.84731038411458,5.4,4.9379934027277095,7.58905372619629,4.285214218497277,-0.11681273277063124,"Kumar Rocker",31843,677958
"Cole Sands","MIN",0,0,0,4,0,3.2,4.909091840105785,4.909091840105785,2.4545459200528925,0.2727272727272727,0.86956522,0.5,0.333333333,93.96520669119698,4.909091840105785,12.244815427672826,7.27996359295111,4.842654327511902,-0.11865449564279859,"Cole Sands",21461,663485
"Connor Phillips","CIN",0,0,0,4,0,5.1,6.750001684762958,8.437502105953698,1.6875004211907394,0.14285714285714285,1,0.133333333,0.083333333,98.198193359375,1.6875004211907394,6.009026891135453,6.93905466217571,7.548955605601616,-0.12147919442708646,"Connor Phillips",27649,683175
"Nick Raquet","BAL",0,0,0,1,0,1,0,9,9,0.25,0,0,0.25,,27,13.961683111134157,19.18905372619629,11.606655132770538,-0.12150960729222508,"Nick Raquet",20333,675919
"Pete Fairbanks","MIA",0,0,0,1,1,1,9,9,9,0.5,0.38461538,0.2,0.333333333,96.71976928710937,27,28.770230720645788,17.18905372619629,8.252254781126975,-0.12264604240290818,"Pete Fairbanks",17998,664126
"Steven Cruz","KCR",0,0,0,2,0,2.1,15.428573530547759,15.428573530547759,3.8571433826369397,0.5,0.45454545,0.571428571,0.5,97.10146915211396,19.2857169131847,5.966102333472005,10.47476900451051,6.064254419320065,-0.12699232146740996,"Steven Cruz",23165,674444
"Roki Sasaki","LAD",0,0,0,1,1,5,9,5.4,3.6,0.23076923076923078,0.38461538,0.333333333,0.222222222,97.00682967748398,10.8,5.9381940595418214,8.189053726196288,5.426974359154702,-0.12819087723691458,"Roki Sasaki",35323,808963
"Chris Murphy","CHW",0,0,1,2,0,1.2,5.400002253056512,10.800004506113025,5.400002253056512,0,1,0.2,0.25,95.56295013427734,5.400002253056512,4.174383308681758,13.389057981969703,8.839616927739526,-0.13112633026036372,"Chris Murphy",26214,669684
"Matt Strahm","KCR",0,0,0,3,0,3,6,6,3,0.2222222222222222,0.55555556,0.3,0.2,90.5524609375,9,4.445482436625546,8.18905372619629,6.113054312268893,-0.13765119584271684,"Matt Strahm",13799,621381
"Tatsuya Imai","HOU",0,0,0,1,1,0.1,0,108.00011265289614,0,0.5,0.5,1,0,94.66560668945313,81.0000844896721,19.780024813856123,48.189100664903016,48.189100664903016,-0.1462144556832701,"Tatsuya Imai",37124,837227
"Luke Weaver","NYM",1,0,0,4,0,3.2,4.909091840105785,2.4545459200528925,2.4545459200528925,0.2857142857142857,0,0.4,0.166666666,94.44449655633224,14.727275520317356,7.359949417912977,6.461781619600146,5.132618306575907,-0.14884685212542254,"Luke Weaver",16918,596133
"Chase Silseth","LAA",0,0,0,2,0,1,18.00001877548269,45.000046938706724,9.000009387741345,0.5,0.89285714,0.333333333,1,96.41966386274858,18.00001877548269,20.320430155281123,27.189078760173206,15.543466964497071,-0.15192891483219112,"Chase Silseth",30074,681217
"Josh Fleming","TOR",0,0,0,1,0,3,3,6,3,0.38461538461538464,0.65789474,0.642857142,0.25,,12,10.67529005980833,9.855720392862956,7.328254195054372,-0.1552960431077958,"Josh Fleming",20418,676596
"Chris Sale","ATL",0,1,0,1,1,4,15.75,4.5,4.5,0.375,0.48387097,0.4,0.5,95.84461712015086,13.5,7.501670672670196,9.189053726196288,4.043454077839852,-0.1582986933273778,"Chris Sale",10603,519242
"Gus Varland","WSN",0,0,0,1,0,1,9,9,9,0,0,0.333333333,0.5,94.06839752197266,18,7.409568341073534,17.18905372619629,6.897854429483414,-0.162182892930624,"Gus Varland",24737,681402
"Ryan Weiss","HOU",0,2,0,2,0,5,14.400002746582555,7.200001373291277,3.6000006866456387,0.5555555555555556,0.53030303,0.25,0.222222222,95.89496655734081,14.400002746582555,6.058836768730057,7.589054565429848,4.826974671563329,-0.17428333654329436,"Ryan Weiss",24621,680802
"Caleb Thielbar","CHC",1,2,0,4,0,3.1,8.100003307165066,5.40000220477671,2.700001102388355,0.3,0.65217391,0.363636363,0.25,93.34225576064166,5.40000220477671,5.368196240671998,7.089055318535025,4.814334811757531,-0.17842758254969607,"Caleb Thielbar",10078,573204
"Caleb Kilian","SFG",0,0,0,3,0,2,18.00001877548269,13.500014081612017,4.500004693870673,0,1,0.333333333,0.5,97.03733898344494,4.500004693870673,6.502271741962611,11.689062592396446,6.543457576755726,-0.1801237120929342,"Caleb Kilian",26213,668873
"Jacob Lopez","ATH",1,0,0,2,2,9.1,10.607143218420003,7.714285977032729,2.892857241387273,0.2916666666666667,0.72463768,0.296296296,0.2,91.29668051509533,7.714285977032729,5.429835104189794,7.58191101867326,5.580054372774725,-0.18137447324751552,"Jacob Lopez",25098,682052
"Hunter Bigge","TBR",0,0,0,3,0,3.2,2.454545880152248,4.909091760304496,2.454545880152248,0,1,0.363636363,0.142857142,96.99939219156902,2.454545880152248,5.685118981752133,7.825418166483869,6.865636853199981,-0.1816472387689616,"Hunter Bigge",26259,685801
"Patrick Corbin","TOR",0,0,0,1,1,4,6.75,2.25,4.5,0.3076923076923077,0.80645161,0.214285714,0.25,91.90760040283203,9,15.108579853959334,10.439053726196288,6.647854429483414,-0.1940686528487488,"Patrick Corbin",9323,571578
"Justin Topa","MIN",0,1,1,4,0,2.1,0,7.714290312361052,3.857145156180526,0.36363636363636365,0.53571429,0.333333333,0.2,,11.571435468541578,6.612944786425178,11.3319157225774,8.662772028022843,-0.1941058045736418,"Justin Topa",15145,623437
"Ryan Feltner","COL",1,1,0,2,2,9.1,4.821428735645456,4.821428735645456,2.892857241387273,0.34375,0.60810811,0.371428571,0.1875,95.14549599924395,9.642857471290911,11.83587619545995,7.903339601049623,6.046597283484035,-0.1954023563236524,"Ryan Feltner",21446,663372
"Brandon Pfaadt","ARI",0,1,0,2,2,10.2,6.750000402331376,4.21875025145711,2.531250150874266,0.25,0.78125,0.485714285,0.214285714,92.94887642238452,5.062500301748532,6.891329500393747,7.032803955301656,5.154204304860567,-0.2042213632456825,"Brandon Pfaadt",27782,694297
"Taijuan Walker","PHI",1,1,0,2,2,10,9,3.6,3.6,0.2916666666666667,0.95744681,0.392857142,0.333333333,91.72100830078125,5.4,7.209622495966154,7.58905372619629,4.014334148168564,-0.2088393879435164,"Taijuan Walker",11836,592836
"Kody Funderburk","MIN",0,0,1,4,0,2.2,0,16.875011001255086,0,0.125,1,0.375,0,,0,12.509881404681053,9.939058126698324,10.954859052657829,-0.2115735434684039,"Kody Funderburk",24993,681892
"George Klassen","LAA",0,1,0,2,2,4.2,11.571430147910819,19.2857169131847,1.9285716913184698,0.4,0.64102564,0.533333333,0.333333333,97.02533637152777,11.571430147910819,10.873534690975111,9.831911774071019,7.916883167797081,-0.21792713691832472,"George Klassen",33464,691946
"Eric Lauer","TOR",0,2,0,2,2,7.1,3.681818341420709,9.818182243788556,2.454545560947139,0.25,0.53030303,0.346153846,0.153846153,89.38298583984376,11.045455024262125,5.768717684679836,9.189053986289295,8.04458183277317,-0.23460795472548507,"Eric Lauer",19316,641778
"Matt Svanson","STL",0,1,0,3,0,3.1,8.100003234745364,5.400002156496909,5.400002156496909,0.5,0.36585366,0.5,0.4,,21.600008625987638,18.26865861938535,10.989056841136268,5.2206550649839025,-0.24125354680961733,"Matt Svanson",29629,694335
"Juan Mejia","COL",0,1,1,3,0,3,6.000001966953922,9.000002950430884,3.000000983476961,0.25,0.65217391,0.222222222,0.166666666,98.10196640912224,9.000002950430884,9.129075203332675,9.189055693150213,7.564522530540532,-0.2470044049910316,"Juan Mejia",23237,675848
"Matt Festa","CLE",0,0,1,3,0,3,6.000002026558607,3.0000010132793036,6.000002026558607,0.3,0.625,0.166666666,0.222222222,90.6032948811849,12.000004053117214,8.729453653970626,11.522389874194353,6.918922707592898,-0.251942949513427,"Matt Festa",19330,670036
"PJ Poulin","WSN",1,0,0,4,0,4.2,7.714286814538957,5.785715110904218,3.8571434072694784,0.18181818181818182,0.95238095,0.384615384,0.333333333,90.61549268450055,5.785715110904218,8.824765562455081,8.974768837100507,5.14471160009307,-0.25856369019129605,"PJ Poulin",23394,676571
"AJ Blubaugh","HOU",0,1,0,3,0,4,2.25,11.25,2.25,0.42105263157894735,0.3968254,0.333333333,0.111111111,95.10600085136218,20.25,9.982952559820617,9.689053726196288,9.486454517394304,-0.28241832016275226,"AJ Blubaugh",31764,805123
"Angel Zerpa","MIL",0,0,1,3,0,4.1,2.076923686371931,4.153847372743862,2.076923686371931,0.25,0.86956522,0.615384615,0.25,,4.153847372743862,9.235900972501689,7.112131800454382,5.3623469962100305,-0.2846055869332154,"Angel Zerpa",22717,672582
"Ken Waldichuk","WSN",0,0,0,1,0,2.1,7.714286765273879,7.714286765273879,7.714286765273879,0,0.83333333,0.166666666,0.4,91.91751534598214,11.571430147910819,17.55316211953334,15.189055361066767,6.948483563328448,-0.2900001384002572,"Ken Waldichuk",27681,686610
"Valente Bellozo","COL",0,1,0,1,0,0.1,0,54.00005632644807,27.000028163224034,0,-0.625,0,1,,81.0000844896721,,60.18911318189147,25.252277794863055,-0.31590428611688814,"Valente Bellozo",23899,678368
"Clayton Beeter","WSN",0,0,1,4,0,4.2,9.64285845659235,7.714286765273879,3.8571433826369397,0,1,0.5,0.333333333,96.79563041355298,3.8571433826369397,5.374839911681167,9.189054543631528,5.358997331083653,-0.38099159757085377,"Clayton Beeter",27494,690925
"Bryan Abreu","HOU",0,2,0,3,0,1.2,16.200006759169536,32.40001351833907,5.400002253056512,0.75,0.58139535,0.2,0.5,95.65562491581358,21.60000901222605,17.99488993093802,18.1890599846866,12.014337830364031,-0.39886149720289465,"Bryan Abreu",16609,650556
